Place ID,Name,Address,Rating,Types
ChIJfY2XWq1Zei4RxW9hFtkamQo,Cakra Kusuma Hotel Yogyakarta,"Jl. Kaliurang No.25 KM.5,2, Karang Wuni, Caturtunggal, Kabupaten Sleman",4.2,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ_4jKtRhYei4Ry3626jQv87g,Top Malioboro Hotel Jogja,"Jl. HOS Cokroaminoto No.145, Tegalrejo, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJ_WpI_rNZei4RlmtkQEkxyb0,UNY Hotel,"Universitas Negeri Yogyakarta, Jl. Karangmalang Jl. Colombo Yogyakarta, Karang Malang, Caturtunggal, Kabupaten Sleman",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJY23L6LZZei4ReBTbDMPP0kM,D'Paragon Karangmalang Yogyakarta,"Blk. B, Jl. Karangmalang No.17, Karang Gayam, Caturtunggal, Kabupaten Sleman",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJ03hNnKtZei4R06-uGSbkEAI,Hotel Cakra Kembang,"Kaliurang St No.6, RW.40, Manggung, Caturtunggal, Sleman Regency",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJl3ZXLu9Zei4RAX77gQDG-kc,Eastparc Hotel Yogyakarta,"Jalan Laksda Adisucipto KM. 6.5 No.1, Ngentak, Caturtunggal, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJ114WA6BXei4RXvyAZf5kA08,Urbanview Hotel Heryon Taman Siswa Jogja,"Jl. Menteri Supeno No.28D, Sorosutan, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJP2_dompXei4Ro6bugNwkHcs,Kalya Hotel,"Jl. Gedongkuning No.118, Rejowinangun, Kota Yogyakarta",4.2,"['lodging', 'point_of_interest', 'establishment']"
ChIJawos48VZei4RGXTSV1zxkNs,Loman Park Hotel Yogyakarta,"Jl. Affandi Jl. Kolombo, Gejayan, Complex, Kabupaten Sleman",4.8,"['lodging', 'point_of_interest', 'establishment']"
ChIJ-_rW8575ei4RWk4ISJvFEeY,Dangau Datuk Guesthouse & Resto,"Jl. Ringroad Barat No.47, Gamping Kidul, Ambarketawang, Kabupaten Sleman",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJh4lcYWNXei4RRLYnb69fzBs,Gaia Cosmo Hotel,"Jl. Ipda Tut Harsono No.16, Muja Muju, Kota Yogyakarta",4.6,"['lodging', 'point_of_interest', 'establishment']"
ChIJq4EIBphZei4R5WoGQPB1sAg,Urbanview Hotel Near Jogja City Mall,"Jalan Semboja, RT 01/1, Padukuhan, Baturan, Trihanggo, Kabupaten Sleman",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJp_9xozlYei4RxMLx3j6Qkig,Adya Nalendra Boutique Hotel,"Jl. Tri Margo Kulon No.9A, Karangwaru, Kota Yogyakarta",4.1,"['lodging', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJN5ocxc1Zei4RuNZbrkX7R54,Grand Aston Yogyakarta Hotel & Convention Center,"Jl. Urip Sumoharjo No.37, Klitren, Kota Yogyakarta",4.6,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJIbvBUIVXei4RHACy6UnOhLA,Ndalem Maharani Guest House,"Jl. Sawojajar No.6, Panembahan, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJ0ZmjRs5Zei4RfkxRGlKhl5E,De Laxston Hotel,"No.139 A, Jl. Urip Sumoharjo, Klitren, Yogyakarta City",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJsRiizCVYei4Rbk3n-TcJEuE,Unisi Hotel Malioboro,"Jl. Ps. Kembang No.42, Sosromenduran, Kota Yogyakarta",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJZZlnpoJXei4RbReW93Bsncw,RedDoorz Plus @ Taman Siswa 3,"Jl. Taman Siswa No.9, Wirogunan, Kota Yogyakarta",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJt3t9Q8VZei4RkSgB98AtnvI,Hotel New Saphir Yogyakarta,"Jl. Laksda Adisucipto No.38, Demangan, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJoWoQDDBYei4RoYS7prhy-Ms,Harper Malioboro Yogyakarta,"Harper malioboro yogyakarta, Jl. P. Mangkubumi No.52, Gowongan, Yogyakarta City",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJveL9EodXei4RcCafEw2OILo,Front One Cabin Malioboro Jogja,"Jl. Jagalan - Beji Jl. Beji No.61, Purwokinanti, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJl5pchSZYei4RjIHNpO6M31E,Oryza Hotel Malioboro RedPartner,"Sosrowijayan St No.49-51, Sosromenduran, Yogyakarta City",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJqV3xCVNYei4RSSgZtJvaNKQ,AMAYA SUITES,"Jalan Pogung Kidul No.181, Sinduadi, Mlati, Pogung Kidul, Sinduadi, Kabupaten Sleman",4,"['lodging', 'point_of_interest', 'establishment']"
ChIJ5X-UNHdXei4RSmkgKysN7B0,Tirtodipuran Hotel,"Tirtodipuran St No.5, Mantrijeron, Yogyakarta City",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJk7x8PMVZei4R2tlJox6P9LU,The Victoria Hotel Yogyakarta,"Jl. Laksda Adisucipto KM.5, Tempel, Caturtunggal, Kabupaten Sleman",4.4,"['lodging', 'point_of_interest', 'establishment']"
ChIJgXKFDElYei4RufKyHeOwKlI,Tembok Batu Residence,"Jalan Sendowo E No. 106, Sendowo, Sinduadi, Kabupaten Sleman",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJDw6nshhYei4Rc8E6R_IZVQs,Agung Mas Hotel Yogyakarta,"Jl. HOS Cokroaminoto No.108, Tegalrejo, Kota Yogyakarta",4.3,"['lodging', 'point_of_interest', 'establishment']"
ChIJhWBnNlBZei4Ru1OuYy2vl2E,RedDoorz near UMY Yogyakarta 3,"Jl. Ring Road Utara, Area Sawah, Banyuraden, Kabupaten Sleman",4.6,"['lodging', 'point_of_interest', 'establishment']"
ChIJaweQoodXei4RRPPqIyYxdS8,Malioboro Palace Hotel,"Sosrowijayan St No.3-5, Sosromenduran, Yogyakarta City",4.1,"['lodging', 'point_of_interest', 'establishment']"
ChIJVzBo9KJXei4Rfn1jD1Jt6Zs,YezYezYez Yogyakarta,"Gg. Batik Gringsing No.509, Brontokusuman, Kota Yogyakarta",4.5,"['lodging', 'point_of_interest', 'establishment']"
ChIJp8ZBrzxZei4R_6qrAb0hex8,The Manohara Hotel Yogyakarta,"Jl. Affandi No.35, Gejayan, Caturtunggal, Kabupaten Sleman",4.7,"['lodging', 'point_of_interest', 'establishment']"
ChIJNaQSRsNZei4RB4YhoLS1pds,Yellow Star Hotel - Ambarrukmo,"Jl. Laksda Adisucipto No.23, Papringan, Caturtunggal, Kabupaten Sleman",4.3,"['lodging', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJMfgiFHdZei4RWXGFfxl7Thw,J&M FOOD HOUSE,"Jl. Titi Bumi Timur No.25a, Sumberan, Ngestiharjo, Kabupaten Bantul",3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJGc_p34RZei4RUTTe50iRxiQ,ARKA BOGA FOOD COURT,"Jl. Sorowajan Baru No.RT.19, Jomblangan, Banguntapan, Kabupaten Bantul",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJeZ4hctBZei4Rbmej2hl3V4w,Gejayan Street Food,"Jl.Gejayan Soropdan CCXII/24, Soropadan, Condongcatur, Kabupaten Sleman",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJQUfETo5Xei4RGpzD82b_VQw,Rumah Makan Sea Food 99,"59W7+36C, Unnamed Road, Kadipaten, Kota Yogyakarta",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJb-SZak1Zei4Rc6uCQ7xzzv8,Food Truck Barsa City,"Ngentak, Caturtunggal, Sleman Regency",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJy2rNAqVXei4RZ4kgN1PndyI,Dina's Food,"Jl. Affandi No.55, Mrican, Caturtunggal, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJJyToorJXei4Re_829NltNfI,Warmindo Enway Food,"Gg. Sengon Jl. Raya Janti No.168, RT.4/RW.2, Gowok, Caturtunggal, Kabupaten Sleman",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJP-gP1sdZei4ROnhPVGOx4F0,Tio Ciu Chinese Food Bang Sinyo,"Jl. Moses Gatotkaca No.16, Mrican, Caturtunggal, Kabupaten Sleman",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJq5k21F9Xei4Rdvqk3U-SZaU,99 Choliz Food,"Jl. Sonosewu, timur Superindo, Sonosewu, Kabupaten Bantul",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJq1NkBb9Zei4R1CGSs5DVGro,NANG NDUD food,"Jl. Sumberan No.331, Soragan, Ngestiharjo, Kabupaten Bantul",4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJg3XocVtYei4R4QWx4FSBLss,Chinese Food 99,"Jl. Magelang No.135 49, Kutu Asem, Sinduadi, Kabupaten Sleman",3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ3-Fji7lXei4REtfqid2XtZs,Fast Food Restaurant,"Krapyak Kulon, Panggungharjo, Bantul Regency",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJX900A11Yei4RVyNQ82OYoa4,Fast Food Restaurant,"69P4+FXR, Jl. Bangau, Kutu Patran, Sinduadi, Kabupaten Sleman",3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJUY6-nN5Zei4R-5oLvO6C7RA,Rumah Makan & Sea Food 99,"Jl. Sorowajan Baru No.276, Tegal Tanda, Banguntapan, Kabupaten Bantul",4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJTWQEmQj4ei4RVwyfAaVcI3c,Mpt Tatiek Resto,"Jl. Sugeng Jeroni Gg. Bugisan RW.06, Jl. Bugisan Kecamatan, RT.03/RW.06, Jomegatan, Patangpuluhan, Kota Yogyakarta",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJTXnINj9Yei4R67U853oBhuA,Fast Food Restaurant,"Kricak, Yogyakarta City",3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJqyS6HHFZei4RlcltN2H1cBs,Pak Trimbil Fresh Milk & Food,"Jl. Jombor Lor No.04/19/139, Jombor Lor, Sinduadi, Kabupaten Sleman",4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJa-YmH4lZei4RRB01-VYPXOc,Chineese Food Muslim Pak Joko,"69QH+3FQ, Kocoran, Caturtunggal, Sleman Regency",4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJBb3_gJBZei4RCog8yYO4uXM,Kampung2 Food service,"Jl.intan blok H20 Pengok pjka GK I No.655 C, Demangan, Kota Yogyakarta",4.5,"['restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
ChIJN6MvySdYei4RtnkN_7TDtnI,Bu Joko’s Food Cart,"Jl. Dagen No.2A 001, Sosromenduran, Kota Yogyakarta",4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJPXgjmqT5ei4R1PzypHKxMwg,Hak Food Jogja,"58RG+3P2, Gg. Margorukun, Geblagan, Tamantirto, Kabupaten Bantul",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ2cVUf_JZei4RRVHSYXRY8fs,Cak No Chinese Food,"6979+WC2, Gowongan, Yogyakarta City",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJRRu6OMJZei4Rd7wU9hQgj7Y,Fast Food Restaurant,"Tempel, Caturtunggal, Sleman Regency",2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ71fguzFXei4RScoo5l9u3cc,Tuman Yo Food,"Jl Gedong Kuning Selatan, Jl. Gedongan Baru Jl. Pelemwulung No.8B, Pelem Mulong, Banguntapan, Kabupaten Bantul",5,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJU4QlnBxZei4RdIcfqaZ55po,Food Court UGM Baru,"Sendowo, Sinduadi, Sleman Regency",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJbT1hxMdZei4RBEsa73CALZE,Keray Indah Chinese Food,"Jl. Moses Gatotkaca No.8, Mrican, Caturtunggal, Kabupaten Sleman",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJY7OwZSNZei4RLAlni81EiiM,"Food Place ""51"" Swakarya","69PJ+FFV, Kocoran, Caturtunggal, Sleman Regency",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJSSKJqblXei4RrR_zvSCxo-c,Hot Shop Street Food,"Gg. Mulyadi Gg. MG II No.64, Wirogunan, Kota Yogyakarta",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJI_Wmq3FZei4R7SYDsvUHPAM,Kalluna,"Jl. Sajiono No.13, Kotabaru, Kota Yogyakarta",4.6,"['restaurant', 'cafe', 'point_of_interest', 'food', 'establishment']"
ChIJGVWHzApYei4RTD1XiRZwLX8,Fast Food Restaurant,"Nogosaren, Nogotirto, Sleman Regency",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJf_D0XChZei4RheI7KsNuQQM,Mie Kota kembang Chinese food & sea food,"Jl. Perumnas No.138, Nologaten, Caturtunggal, Kabupaten Sleman",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJa8H1re5Xei4RdDo61W6EWBk,Yuu-mi Japanese food,"Jl. Lowanu No.20, Sorosutan, Kota Yogyakarta",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ55CLeXdZei4RGEt9VW5jCSU,Chinese Food & Sea Food 99 Bang Kumis,"69R6+QGX, Jl. Kutu Tegal, Kutu Asem, Sinduadi, Kabupaten Sleman",4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJW3JaovhZei4R5PhExJ68VPQ,Pork Roast,"Jln. Profesor Jl. Prof. Herman Yohanes, Terban, Kabupaten Sleman",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJj7lrQhJYei4R3B4X49I-MCY,Sea Food Cak Ragil,"68CV+2P3, Kwarasan, Nogotirto, Kabupaten Sleman",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJOyZPOtlZei4R0Vm6QAXzAtw,Chinese Food 88,"69X7+452, Kutu Tegal, Sinduadi, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJOy2OhL9Zei4R2Zumi7EhTzM,Food by Nio,"Gg. Nakula No.51, Ambarukmo, Caturtunggal, Kabupaten Sleman",4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJo3eXS1JYei4RtW5mo0PVT88,Bubur Ayam Dan Soto Ayam Fast Food Restaurant,"Pogung Kidul, Sinduadi, Sleman Regency",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJS9YbR_VZei4R5QMI-4iL6nM,AW Food,"Jl. Babarsari Ruko Babarsari No.44, Kledokan, Caturtunggal, Kabupaten Sleman",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ22Hh4_pZei4R7DU1AtuWS2Y,ikono food & drink,"Jl. Kronggohan, Kranggahan I, Trihanggo, Kabupaten Sleman",3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJEXMFxYZXei4R_HymnotMg1c,bunbun food yk,"Jl. Karawitan Jl. Bekelan Tirtonimolo No.2b RT.01, Sanggrahan, Ngestiharjo, Kabupaten Bantul",4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJGTECtKNZei4Rsi7_UFVPLQM,Berkat Rasa Halal Chinese Food,"Jl. Letjen Suprapto No.43, Pringgokusuman, Kota Yogyakarta",4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJdyrFKJdZei4Ru6U6_2d7AEU,Distributor frozen food premium jogja utara,"Dusun pondok blok, Gg. I No.8, Pondok, Condongcatur, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJswG541tYei4RNjRdxYoKO0s,Mbak Linna Chinese Food 99,"Magelang St No.100, Kutu Asem, Sinduadi, Sleman Regency",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJi_xiUrBXei4RvbMHiEz5KUI,Mami Lepi Food,"5CH3+M36, Jl. Pringgolayan, Purbayan, Kota Yogyakarta",4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJvz1nOWpXei4RIYmGYZ6hUmY,Korean Street Food,"Jl. Rejowinangun Gg. Kristal Ruko No.4C, Rejowinangun, Kota Yogyakarta",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJi2jCFoRZei4Rjn4_ZEx4juk,KD Frozen Food Jogja,"Jalan arah depok/kota komplek pertokoan kledokan no 49 Kel, Kledokan, Catur tunggga, Kabupaten Sleman",4.7,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
ChIJ4_0zjx1Zei4RjL2-VacsozA,Huh hah chines food,"Jl. Anggrek No.66-58, Samirono, Caturtunggal, Kabupaten Sleman",4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJI_CtzuhZei4RXXbGmeQrrS8,Ling-Ling Food,"Unnamed Road, Cambahan, Nogotirto, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJT-vBtO5Zei4Rp2kEC851Dvw,Tio Ciu Original Chinese Food,"Jl. Raya Kledokan No.27, Tempel, Caturtunggal, Kabupaten Sleman",4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJDUrHoiRZei4RskPbsazvD4k,Masshita Food,"6995+M8M, Bumijo, Yogyakarta City",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJq8UVKfBXei4RAAD7T7IFyTw,Chinese Food Patangpuluhan,"Jl. Pamularsih No.243, Patangpuluhan, Kota Yogyakarta",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJPYHpdQJZei4Rfq0-vagjiPg,LAKUNO food court- Nologaten Yogyakarta,"Jl. Nologaten, Tempel, Caturtunggal, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJcWPbYTBYei4R5__kiNVcX6Y,Madam Tan Indonesian Food,"Jl. C. Simanjuntak No.78A, Terban, Kota Yogyakarta",4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJsx9PloFZei4ROP9FRuD6ZQY,Cimie Food & Drink,"Mesan, No.7, RT.01/RW.031, Kutu Dukuh, Sinduadi, Kabupaten Sleman",5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ-UvbXTVZei4R3BPneNqwAGw,Happy Rice Bowl Chinese Food 86,"6C63+PFR, Gg. Nusa Indah, Jaranan, Banguntapan, Kabupaten Bantul",3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJMYBL_BxZei4R_bKH0hmsYfM,Chinnese Food dan Penyetan Mbak Ning,"Mancasan kidul,Rt06,Rw16, Dero, Condongcatur, Kabupaten Sleman",0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
